date,vehicle_id,weight,material,destination
2025-05-31,KA19MJ9238,50.0,Paper,ITC Paper Mill
2025-05-24,KA19MJ5334,51.5,Glass,Reliance Recycling
2025-05-23,KA19MJ5827,53.0,Rubber,Reliance Recycling
2025-06-13,KA19MJ7672,54.5,Paper,ACC Cement
2025-06-12,KA19MJ9490,56.0,Glass,ITC Paper Mill
2025-06-02,KA19MJ8141,57.5,Glass,Reliance Recycling
2025-05-27,KA19MJ4116,59.0,MLP,Reliance Recycling
2025-05-21,KA19MJ8753,60.5,PET,Reliance Recycling
2025-05-22,KA19MJ4884,62.0,MLP,ACC Cement
2025-05-30,KA19MJ4674,63.5,PET,ITC Paper Mill
2025-05-21,KA19MJ6234,65.0,Rubber,ACC Cement
2025-06-13,KA19MJ1391,66.5,Rubber,Reliance Recycling
2025-06-13,KA19MJ9228,68.0,Rubber,ITC Paper Mill
2025-06-09,KA19MJ7266,69.5,Glass,ITC Paper Mill
2025-05-18,KA19MJ1312,71.0,Paper,ACC Cement
2025-05-18,KA19MJ9807,72.5,Rubber,Reliance Recycling
2025-06-09,KA19MJ5644,74.0,Paper,ACC Cement
2025-06-02,KA19MJ9296,75.5,Paper,ITC Paper Mill
2025-05-30,KA19MJ7616,77.0,MLP,ITC Paper Mill
2025-05-27,KA19MJ9221,78.5,PET,ACC Cement
2025-05-30,KA19MJ4353,80.0,PET,ITC Paper Mill
2025-06-14,KA19MJ8339,81.5,Rubber,ITC Paper Mill
2025-06-06,KA19MJ3713,83.0,PET,Reliance Recycling
2025-05-22,KA19MJ8577,84.5,PET,Reliance Recycling
2025-05-23,KA19MJ9124,86.0,Rubber,ACC Cement
2025-06-10,KA19MJ1114,87.5,HDPE,ITC Paper Mill
2025-06-04,KA19MJ1754,89.0,HDPE,Reliance Recycling
2025-06-01,KA19MJ6155,90.5,MLP,ITC Paper Mill
2025-06-13,KA19MJ9087,92.0,Paper,ITC Paper Mill
2025-05-30,KA19MJ7590,93.5,Rubber,Reliance Recycling
2025-06-01,KA19MJ6265,95.0,Glass,Reliance Recycling
2025-06-04,KA19MJ4986,96.5,HDPE,ITC Paper Mill
2025-06-04,KA19MJ7874,98.0,PET,ACC Cement
2025-06-05,KA19MJ5021,99.5,PET,Reliance Recycling
2025-05-24,KA19MJ3708,101.0,HDPE,Reliance Recycling
2025-05-24,KA19MJ2398,102.5,Paper,Reliance Recycling
2025-06-16,KA19MJ8484,104.0,HDPE,Reliance Recycling
2025-06-08,KA19MJ8324,105.5,Glass,ACC Cement
2025-06-14,KA19MJ6665,107.0,Glass,ACC Cement
2025-05-21,KA19MJ9597,108.5,PET,Reliance Recycling
2025-05-23,KA19MJ3401,110.0,Glass,ITC Paper Mill
2025-05-24,KA19MJ7152,111.5,Glass,ACC Cement
2025-06-06,KA19MJ4840,113.0,Paper,ACC Cement
2025-05-19,KA19MJ2336,114.5,MLP,Reliance Recycling
2025-06-06,KA19MJ1758,116.0,Glass,Reliance Recycling
2025-06-12,KA19MJ8756,117.5,Glass,ACC Cement
2025-05-18,KA19MJ9007,119.0,PET,ITC Paper Mill
2025-05-23,KA19MJ6948,120.5,Glass,ACC Cement
2025-05-22,KA19MJ7332,122.0,MLP,Reliance Recycling
2025-06-10,KA19MJ4859,123.5,MLP,ACC Cement
2025-05-29,KA19MJ2172,125.0,Paper,ACC Cement
2025-06-04,KA19MJ7955,126.5,HDPE,ITC Paper Mill
2025-06-13,KA19MJ5267,128.0,Paper,Reliance Recycling
2025-06-12,KA19MJ3946,129.5,Paper,ACC Cement
2025-05-20,KA19MJ4610,131.0,PET,Reliance Recycling
2025-05-18,KA19MJ5813,132.5,Paper,Reliance Recycling
2025-06-04,KA19MJ3915,134.0,Paper,ITC Paper Mill
2025-05-18,KA19MJ3084,135.5,Rubber,ACC Cement
2025-06-16,KA19MJ8630,137.0,MLP,ITC Paper Mill
2025-06-11,KA19MJ6376,138.5,Rubber,Reliance Recycling
2025-06-14,KA19MJ8280,140.0,Rubber,ACC Cement
2025-05-25,KA19MJ9219,141.5,MLP,ITC Paper Mill
2025-05-31,KA19MJ2682,143.0,MLP,ACC Cement
2025-06-13,KA19MJ2221,144.5,Glass,ACC Cement
2025-06-08,KA19MJ7556,146.0,MLP,ITC Paper Mill
2025-05-21,KA19MJ4095,147.5,MLP,ACC Cement
2025-05-20,KA19MJ9883,149.0,MLP,Reliance Recycling
2025-05-29,KA19MJ6591,150.5,HDPE,Reliance Recycling
2025-06-16,KA19MJ7485,152.0,PET,ITC Paper Mill
2025-06-09,KA19MJ7260,153.5,Rubber,Reliance Recycling
2025-05-18,KA19MJ8556,155.0,Rubber,ITC Paper Mill
2025-06-11,KA19MJ6292,156.5,PET,ACC Cement
2025-06-01,KA19MJ3325,158.0,MLP,Reliance Recycling
2025-05-18,KA19MJ7494,159.5,Rubber,ACC Cement
2025-06-11,KA19MJ3056,161.0,Glass,ACC Cement
2025-06-15,KA19MJ2283,162.5,Paper,Reliance Recycling
2025-05-21,KA19MJ3770,164.0,Rubber,ACC Cement
2025-06-09,KA19MJ5261,165.5,Paper,Reliance Recycling
2025-05-29,KA19MJ4583,167.0,MLP,ACC Cement
2025-06-15,KA19MJ3641,168.5,Glass,ACC Cement
2025-05-24,KA19MJ6742,170.0,Glass,ACC Cement
2025-06-09,KA19MJ6624,171.5,PET,Reliance Recycling
2025-05-18,KA19MJ1667,173.0,Paper,ITC Paper Mill
2025-05-19,KA19MJ2375,174.5,PET,ITC Paper Mill
2025-06-03,KA19MJ4772,176.0,Paper,ITC Paper Mill
2025-06-14,KA19MJ9513,177.5,MLP,ITC Paper Mill
2025-05-23,KA19MJ2808,179.0,MLP,Reliance Recycling
2025-06-10,KA19MJ3349,180.5,MLP,ACC Cement
2025-05-20,KA19MJ9178,182.0,HDPE,Reliance Recycling
2025-05-23,KA19MJ6525,183.5,MLP,Reliance Recycling
2025-06-11,KA19MJ7253,185.0,Glass,Reliance Recycling
2025-05-23,KA19MJ6294,186.5,PET,ITC Paper Mill
2025-05-18,KA19MJ5407,188.0,MLP,ACC Cement
2025-05-23,KA19MJ7934,189.5,Rubber,ITC Paper Mill
2025-06-10,KA19MJ3081,191.0,Glass,ITC Paper Mill
2025-05-25,KA19MJ5427,192.5,HDPE,ITC Paper Mill
2025-06-10,KA19MJ6530,194.0,Rubber,ACC Cement
2025-06-06,KA19MJ9307,195.5,Rubber,ACC Cement
2025-06-16,KA19MJ4459,197.0,Rubber,Reliance Recycling
2025-06-13,KA19MJ2165,198.5,MLP,ITC Paper Mill
